,State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Housholds_with_Electric_Lighting,sex_ratio,literacy_rate
0,Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,5512,566108,100.14931399528476,54.112282803506005
1,Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,8606,897970,97.68262940816035,56.62524368143473
2,Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,13763,944555,99.69648895514504,63.915598802509976
3,Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,22411,1297273,100.58061523422299,63.80264152466215
4,Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,19383,1186028,100.27744075957553,60.56780404651324
5,Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,149034,869721,95.35181997200995,73.34309160066269
6,Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,8831,926768,100.77993407060826,58.43940143035361
7,Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,8628,668519,101.10669538486314,58.27738196949277
8,Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,30438,1163932,99.2347097414411,66.62503503122815
9,Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,10081,816721,98.77448660693489,52.47762222080231
10,Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,6153,757821,97.67146283675366,47.881386459703705
11,Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,8635,604719,99.1614085080399,53.972356070376435
12,Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,7715,789225,98.25346692639728,57.35536109887357
13,Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,5261,545913,104.00218767815863,54.47383428675576
14,Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,3397448,6151,763746,98.12918862304085,56.054868242280676
15,Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,2703114,3988,615432,101.46362404582715,55.32067829917643
16,Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,2344474,4453,527736,101.85281327137774,52.82157106455435
17,Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,3512576,12952,828077,99.65974736270101,58.78941836418628
18,Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,3936966,12050,1017568,100.36286501523219,67.37139716218022
19,Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,148226,170,14593,92.63138743047253,49.3665079000985
20,Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,78690,57,5318,102.94003868471953,48.861354682933026
21,Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,99214,450,14231,97.96871258679862,63.07174390710988
22,Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,92076,95,3911,103.17754534622003,39.756288283591815
23,Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,145726,312,17157,91.1887799950145,56.998751080795465
24,Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,54080,207,5932,92.77795601183473,58.89238165680474
25,Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,83030,381,12493,98.43223478240088,65.1053835962905
26,Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,176573,2477,30539,97.99174721356327,68.55408244748631
27,Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,49977,96,8635,71.44180302562519,52.169998199171616
28,Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,111975,98,16026,94.38754253176863,42.843491850859564
29,Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,35320,97,6198,88.88710626236697,51.514722536806346
30,Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,83448,139,5373,99.8371569519613,54.25893969897421
31,Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,83947,202,14188,81.8806196511754,57.76501840446948
32,Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,112274,303,14204,93.01677898500894,57.66784829969539
33,Assam,Barpeta,26.427872264631056,90.97912010178116,303,1693622,2078,84804,95.3418900028143,52.9668367557814
34,Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,738804,2523,49866,96.58558131861699,58.75414859692151
35,Assam,Cachar,24.815570668693017,92.86849650455927,316,1736617,5316,140205,95.94362529392384,67.61007176596797
36,Assam,Darrang,26.58463215962442,92.04141338028155,325,928500,1166,45444,95.36140281480328,52.4543887991384
37,Assam,Dhemaji,27.586533438485816,94.71336908517353,308,686133,1192,28195,95.34091200259644,61.65393589872517
